No,x,y,r
541,62,136,8
542,40,28,17
543,80,138,17
544,40,24,16
545,56,140,8
546,48,24,24
547,60,138,16
548,84,88,24
549,80,102,24
550,64,56,29
551,88,80,19
552,78,84,19
553,76,84,24
554,80,78,29
555,78,68,22
556,78,68,24
557,80,88,24
558,74,64,27
559,64,40,29
560,82,70,26
561,74,58,22
562,64,82,29
563,78,56,29
564,84,52,27
565,82,46,24
566,78,32,27
567,80,28,24
568,70,48,22
569,82,156,17
570,76,40,22
571,82,144,17
572,84,36,27
573,86,140,14
574,74,48,17
575,78,46,24
576,84,24,22
577,86,138,17
578,70,28,24
579,84,128,15
580,78,26,24
581,82,128,14
582,74,38,24
583,82,146,9
584,76,28,27
585,78,34,27
586,76,30,19
587,62,42,24
588,66,44,24
589,68,50,22
590,72,44,22
591,74,50,19
592,74,34,19
593,74,34,19
594,84,136,11
595,72,36,13
596,66,34,17
597,78,134,11
598,64,30,17
599,72,136,10
600,74,30,17
601,84,134,10
602,66,30,17
603,90,148,7
604,70,34,22
605,84,134,10
606,72,36,19
607,76,24,16
608,74,38,17
609,76,32,16
610,70,22,15
611,86,128,14
612,78,30,12
613,78,120,14
614,68,24,17
615,46,166,17
616,72,26,17
617,44,166,18
618,82,118,19
619,44,164,19
620,44,164,20
621,80,116,16
622,80,118,18
623,82,116,16
624,80,122,10
625,80,120,12
626,78,110,10
627,82,106,17
628,84,108,18
629,80,114,17
630,82,104,16
631,80,102,16
632,80,104,15
633,86,108,17
634,86,102,17
635,44,156,19
636,84,98,17
637,90,110,11
638,80,94,16
639,50,158,10
640,86,96,17
641,84,94,22
642,86,90,17
643,90,98,12
644,44,138,12
645,88,84,17
646,48,138,12
647,84,88,19
648,88,90,17
649,94,82,16
650,92,84,8
651,52,138,12
652,76,72,13
653,82,72,16
654,84,76,12
655,78,72,15
656,82,70,17
657,52,132,19
658,90,78,19
659,52,122,19
660,84,64,18
661,82,74,17
662,88,66,19
663,84,64,22
664,82,58,15
665,86,58,19
666,84,66,19
667,54,120,17
668,78,76,26
669,50,118,14
670,56,108,15
671,56,106,14
672,52,110,12
673,56,106,14
674,54,110,16
675,46,114,13
676,48,102,17
677,60,102,10
678,52,100,10
679,44,92,14
680,54,100,15
681,60,98,12
682,54,82,17
683,54,86,14
684,60,82,12
685,50,90,17
686,48,92,15
687,60,90,15
688,58,86,19
689,58,160,15
690,56,160,17
691,46,80,14
692,58,164,17
693,44,84,16
694,40,90,15
695,44,70,9
696,42,74,12
697,54,76,17
698,56,82,15
699,56,74,14
700,58,160,15
701,60,156,16
702,58,154,17
703,42,68,14
704,56,156,18
705,38,70,17
706,58,170,17
707,54,152,15
708,48,66,22
709,58,146,19
